,EPI,Country,Region,Population,GDP,Health,Air Quality,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
89,37.7,Kiribati,Asia-Pacific,119446,197508774,22.9,29.2,46.1,6.5,24.2,16.3,17.5,15.4,37.0,37.0,0.0,0.0,47.5,82.1,100.0,100.0,100.0,0.0,,,57.0,,,,,55.4,27.9,,87.4,32.2,21.3,53.2,,46.6,59.0,,16.3,95.4,49.9,80.1,19.8,26.5,26.5,0.0,0.0
147,37.6,Sao Tome and Principe,Sub-Saharan Africa,219161,472914470,28.7,24.6,30.8,16.0,25.8,35.2,37.1,34.0,45.0,45.0,0.0,0.0,43.6,58.4,100.0,100.0,0.0,29.6,,,37.2,100.0,100.0,,100.0,17.2,19.9,14.5,,35.0,27.3,32.9,,18.4,50.7,,97.4,95.8,47.1,56.4,37.9,18.2,18.2,0.3,0.3
31,37.3,China,Asia-Pacific,1410929362,14722730697890,41.8,27.1,23.4,33.0,20.3,59.4,61.1,58.2,37.6,37.6,51.8,51.8,34.4,19.0,4.6,8.5,1.6,20.2,72.2,10.4,57.6,34.3,32.6,56.1,43.7,18.0,19.8,28.9,3.3,46.3,38.7,39.3,88.9,57.2,38.0,35.7,77.3,27.7,58.6,75.8,41.5,49.5,49.5,9.4,9.4
172,37.3,Samoa,Asia-Pacific,198410,807100821,42.4,33.4,46.3,14.4,43.2,49.2,62.5,40.3,68.6,68.6,51.7,51.7,33.9,29.9,42.5,42.5,0.9,1.5,,,65.8,,,,,54.3,8.6,100.0,,35.0,30.8,48.7,,32.0,55.5,,5.9,67.3,44.0,58.5,29.6,27.7,27.7,0.3,0.3
135,37.1,Qatar,Greater Middle East,2881060,144411363345,56.9,48.6,13.0,100.0,28.5,66.5,81.0,56.8,59.2,59.2,60.2,60.2,23.9,41.3,63.4,63.4,0.0,3.1,76.5,2.8,76.4,0.0,,,0.0,6.4,,6.4,,12.1,11.1,0.0,,0.0,0.0,,90.8,0.0,64.4,93.2,35.6,26.6,26.6,70.0,70.0
175,37.0,Zimbabwe,Sub-Saharan Africa,14862927,18051170799,22.5,27.2,38.2,10.2,40.8,16.8,17.8,16.1,32.6,32.6,11.0,11.0,46.7,87.0,99.7,99.1,,54.1,91.2,94.8,58.0,23.1,20.8,47.8,39.0,,,,,37.0,10.2,90.2,,100.0,30.7,65.9,82.6,73.8,41.0,48.2,33.7,23.6,23.6,0.0,0.0
27,36.9,Central African Republic,Sub-Saharan Africa,4829764,2380087758,12.2,22.0,36.8,2.8,12.5,0.0,0.0,0.0,24.0,24.0,0.0,0.0,53.5,84.7,97.0,97.0,,34.1,98.5,91.7,65.5,50.7,48.6,95.9,42.7,,,,,45.4,38.6,72.0,,71.3,61.1,43.7,0.0,44.7,51.8,55.7,47.9,21.9,21.9,0.0,0.0
34,36.4,Dem. Rep. Congo,Sub-Saharan Africa,89561404,48716960860,22.4,29.9,45.4,9.8,21.7,13.5,13.9,13.2,36.1,36.1,3.5,3.5,45.7,73.3,80.6,79.8,,27.7,78.0,86.2,74.0,27.7,25.2,49.2,51.5,,,,,40.1,25.9,56.9,,73.2,42.1,38.7,82.0,100.0,47.8,45.4,50.2,31.7,31.7,0.0,0.0
69,35.9,Guyana,Latin America & Caribbean,786559,5471256595,33.5,31.9,20.6,39.1,100.0,35.3,39.4,32.5,24.9,24.9,44.2,44.2,37.5,51.0,48.9,56.5,0.0,78.2,94.5,57.8,69.2,52.3,50.6,85.8,49.7,7.7,7.3,8.0,,38.2,36.3,28.1,,70.6,45.7,44.1,44.4,42.7,28.6,23.4,33.8,40.2,40.2,0.0,0.0
164,35.6,Uganda,Sub-Saharan Africa,45741000,37600368181,25.7,32.6,48.0,11.3,33.7,17.6,17.5,17.6,41.9,41.9,4.9,4.9,42.2,81.4,95.2,95.3,,37.3,86.8,92.6,53.8,24.4,20.1,59.2,66.6,,,,,27.4,17.6,36.6,,39.6,40.0,23.9,51.6,93.3,44.4,46.0,42.9,38.7,38.7,0.4,0.4
104,35.6,Maldives,Southern Asia,540542,3742769967,48.0,51.2,61.3,40.6,24.4,47.8,53.3,44.1,55.4,55.4,9.6,9.6,27.4,6.5,2.4,2.4,0.5,10.4,,,31.4,78.2,77.0,100.0,,46.6,8.6,39.0,100.0,27.7,23.4,55.8,,1.2,0.0,,25.8,64.7,26.7,49.7,3.7,14.1,14.1,4.3,4.3
158,35.3,Timor-Leste,Asia-Pacific,1318442,1902156800,28.9,33.6,49.0,11.5,40.5,25.9,25.6,26.1,34.3,34.3,0.0,0.0,39.5,64.5,94.6,94.6,0.0,23.8,99.4,95.4,47.6,43.8,40.7,100.0,,46.8,18.6,29.3,100.0,23.4,16.9,23.2,,37.0,66.4,58.3,0.0,67.2,64.7,88.3,41.1,34.9,34.9,0.3,0.3
92,34.8,Laos,Asia-Pacific,7275556,19132635712,27.2,27.8,41.3,9.4,26.0,26.5,27.3,26.0,34.7,34.7,18.7,18.7,39.9,69.7,93.6,96.8,,29.6,6.4,83.3,57.6,16.6,13.6,43.0,44.6,,,,,30.7,17.7,43.4,,36.4,68.8,16.4,76.1,77.3,21.3,40.3,2.4,69.2,69.2,0.0,0.0
140,34.8,Sudan,Greater Middle East,43849269,21329109522,20.8,17.6,14.8,19.7,30.6,22.3,22.0,22.5,7.1,7.1,53.8,53.8,44.1,46.6,11.6,12.7,100.0,9.1,95.1,46.6,66.8,59.9,61.8,45.0,39.3,9.1,6.4,11.7,,52.8,44.4,69.5,,60.5,87.7,48.3,47.0,67.7,64.8,65.4,64.3,24.7,24.7,0.0,0.0
86,34.7,Kenya,Sub-Saharan Africa,53771300,101013726529,25.7,34.9,49.9,13.9,39.2,13.6,13.7,13.6,50.6,50.6,5.5,5.5,40.6,53.5,69.9,67.5,4.0,26.2,85.3,84.1,56.5,31.1,27.8,53.2,68.9,8.6,5.2,12.1,,49.0,33.8,63.7,90.2,60.7,30.9,66.5,70.1,84.3,36.8,42.1,31.5,35.9,35.9,0.5,0.5
174,34.7,Zambia,Sub-Saharan Africa,18383956,18110631358,21.0,27.0,36.9,12.5,34.0,13.4,13.9,13.1,42.4,42.4,0.0,0.0,43.9,90.4,100.0,100.0,,68.6,91.8,96.7,65.8,31.1,27.6,61.6,63.8,,,,,26.5,0.3,51.5,89.6,50.4,33.1,24.2,61.6,70.5,22.5,0.0,45.1,36.6,36.6,4.2,4.2
53,34.4,Ethiopia,Sub-Saharan Africa,114963583,107645054312,25.2,38.0,58.4,10.5,33.5,10.9,10.6,11.2,35.8,35.8,0.0,0.0,40.6,72.2,82.8,76.5,,26.1,95.5,81.0,56.7,42.2,40.5,53.0,60.3,,,,,26.1,1.5,32.6,89.4,37.3,35.5,40.2,94.8,83.5,23.6,26.1,21.2,53.3,53.3,0.0,0.0
55,34.4,Fiji,Asia-Pacific,896444,4533883782,34.7,30.0,31.5,22.6,73.9,34.6,38.8,31.9,77.0,77.0,40.0,40.0,34.2,25.1,14.4,9.0,9.5,6.1,88.6,19.0,72.1,38.1,38.1,,,59.7,10.7,100.0,69.9,36.9,18.6,79.1,,65.3,67.7,53.9,31.4,61.2,53.2,100.0,6.5,11.1,11.1,3.9,3.9
113,33.9,Mozambique,Sub-Saharan Africa,31255435,14019446610,28.1,40.7,64.5,7.0,47.1,16.4,16.3,16.4,23.7,23.7,0.7,0.7,37.8,67.4,97.4,98.6,2.2,49.0,91.0,80.2,56.9,24.5,22.5,45.2,39.3,16.3,12.5,20.2,,31.1,0.0,61.6,88.0,88.6,46.1,43.8,62.1,86.6,54.1,74.9,33.3,34.4,34.4,0.2,0.2
138,33.8,Rwanda,Sub-Saharan Africa,12952209,10333991456,24.4,30.9,45.2,11.8,26.3,16.9,16.9,16.9,45.2,45.2,0.0,0.0,40.0,57.4,51.5,54.7,,29.5,94.0,76.0,47.3,28.4,26.3,36.7,57.9,,,,,35.9,14.2,50.6,89.4,41.0,51.9,34.1,71.5,100.0,50.5,52.8,48.2,39.4,39.4,0.0,0.0
152,33.8,Eswatini,Sub-Saharan Africa,1160164,3972728948,17.6,21.1,24.1,15.5,32.5,12.6,13.2,12.1,40.2,40.2,0.0,0.0,44.6,38.4,24.7,21.3,,34.8,76.2,59.3,45.0,24.0,21.0,72.6,29.8,,,,,56.9,41.9,100.0,,71.6,62.6,90.2,50.2,69.7,60.5,68.6,52.3,41.1,41.1,5.7,5.7
88,33.6,Cambodia,Asia-Pacific,16718971,25808561551,30.5,30.1,43.2,11.2,37.4,34.2,35.8,33.2,35.0,35.0,0.0,0.0,35.6,60.1,100.0,100.0,0.0,31.0,26.4,94.2,49.1,19.0,13.8,51.0,80.8,11.3,5.2,18.6,9.9,30.9,11.7,77.3,,72.9,0.0,12.6,79.2,73.8,45.4,41.4,49.4,59.0,59.0,0.0,0.0
33,33.6,Cameroon,Sub-Saharan Africa,26545864,40804449726,13.6,16.4,16.4,14.7,29.6,7.7,8.3,7.4,36.1,36.1,10.2,10.2,46.9,48.6,57.5,68.0,0.0,27.4,85.3,59.4,63.1,31.5,30.3,47.8,35.8,10.5,,8.8,12.5,66.4,50.5,100.0,100.0,62.4,77.3,25.9,79.7,80.7,39.8,39.1,40.4,40.4,40.4,0.0,0.0
170,33.4,Viet Nam,Asia-Pacific,97338583,271158442449,40.6,32.0,36.6,24.9,38.7,52.7,55.7,50.7,47.8,47.8,22.8,22.8,28.5,33.3,43.9,28.0,3.8,25.0,39.4,66.6,50.8,16.4,14.1,39.7,35.5,14.6,35.3,4.6,2.1,30.7,20.6,54.4,,36.8,46.3,8.1,45.6,59.0,45.7,51.5,40.0,50.3,50.3,0.3,0.3
127,33.1,Pakistan,Southern Asia,220892331,262610002939,14.6,9.9,8.5,12.9,1.3,17.4,20.9,15.1,23.0,23.0,31.1,31.1,45.3,46.1,62.0,55.1,6.9,9.4,85.6,62.0,56.2,80.9,83.7,56.2,54.4,7.6,6.2,9.1,,50.6,42.7,40.3,95.9,45.1,57.4,92.2,45.1,73.9,58.8,60.9,56.7,35.1,35.1,0.1,0.1
57,33.0,Micronesia,Asia-Pacific,115021,410083600,30.8,29.0,31.0,17.4,100.0,35.5,39.4,32.9,41.5,41.5,0.0,0.0,34.5,6.9,0.0,0.0,0.1,3.0,,,51.7,100.0,100.0,,,32.7,0.0,,70.8,39.0,31.9,57.3,,45.7,77.8,,0.0,72.0,58.8,92.5,25.0,19.4,19.4,0.1,0.1
38,32.8,Cabo Verde,Sub-Saharan Africa,555988,1703698677,30.4,26.5,21.4,30.3,50.9,35.5,37.2,34.4,59.5,59.5,0.0,0.0,34.5,14.3,16.9,16.9,0.0,2.1,,,45.2,93.7,,87.4,100.0,20.7,10.6,30.8,,39.5,30.6,54.7,,100.0,56.4,0.0,15.2,77.3,35.1,44.7,25.6,16.7,16.7,20.9,20.9
124,32.7,Nepal,Southern Asia,29136808,33657175561,21.0,14.6,16.3,14.1,0.0,27.0,29.0,25.7,27.2,27.2,30.5,30.5,40.5,62.6,76.3,45.7,,27.5,97.5,84.2,47.6,67.8,65.8,73.4,100.0,,,,,23.7,0.0,66.5,,32.9,65.8,81.1,45.0,85.5,44.4,39.2,49.5,45.8,45.8,0.0,0.0
131,32.4,Papua New Guinea,Asia-Pacific,8947027,24668899683,28.4,33.9,49.4,4.8,95.3,15.5,15.4,15.6,60.3,60.3,43.9,43.9,35.1,27.3,17.9,11.6,1.2,13.3,94.6,25.4,78.3,34.2,34.0,38.4,,13.1,3.1,5.8,33.3,47.6,27.6,74.2,90.1,68.7,49.8,37.4,68.0,79.0,58.2,75.2,41.1,31.3,31.3,0.0,0.0
112,32.2,Mongolia,Asia-Pacific,3278292,13312981595,27.6,17.4,11.2,22.8,42.1,43.1,42.3,43.7,33.2,33.2,0.0,0.0,35.3,73.1,77.1,73.9,,23.5,93.9,97.9,67.2,41.7,38.6,71.4,68.0,,,,,16.6,7.7,0.0,69.4,14.0,12.0,100.0,33.3,1.1,34.9,25.5,44.4,15.4,15.4,3.3,3.3
37,32.1,Comoros,Sub-Saharan Africa,869595,1235400352,27.3,37.7,54.7,11.5,60.1,15.2,15.0,15.3,47.1,47.1,0.0,0.0,35.3,36.3,60.0,60.0,0.2,14.1,,,35.6,35.7,32.1,100.0,,18.6,23.8,13.4,,41.7,35.3,25.0,89.5,59.8,53.5,0.0,28.8,100.0,44.5,47.4,41.6,37.3,37.3,0.1,0.1
68,31.8,Guatemala,Latin America & Caribbean,16858333,77604632171,30.8,34.3,41.2,21.7,59.2,28.2,29.9,27.1,30.6,30.6,16.6,16.6,32.5,41.3,76.6,50.2,0.2,53.4,0.0,56.8,49.4,19.5,18.0,39.6,26.7,15.4,15.0,15.9,,36.7,26.5,43.6,89.6,34.5,0.0,72.1,24.7,76.9,44.8,69.6,20.1,28.7,28.7,6.8,6.8
163,31.1,Tanzania,Sub-Saharan Africa,59734213,62409709111,27.4,35.8,53.0,10.6,47.8,18.4,18.6,18.2,43.6,43.6,0.0,0.0,33.5,70.7,99.4,98.9,9.6,67.3,83.7,86.3,53.9,28.3,25.7,47.0,56.9,13.0,13.9,12.1,,18.7,4.9,32.6,,37.5,28.6,39.9,57.6,81.6,40.1,58.3,21.9,44.0,44.0,1.4,1.4
120,31.0,Nigeria,Sub-Saharan Africa,206139587,432293776262,13.9,18.0,21.4,11.7,30.9,4.9,6.0,4.2,51.5,51.5,7.7,7.7,42.4,53.6,78.3,62.1,0.0,32.3,83.9,89.0,50.4,23.4,20.6,38.0,59.4,10.9,15.5,6.3,,50.8,36.1,84.4,89.8,33.5,37.1,28.0,61.5,80.9,66.3,73.6,59.0,39.0,39.0,0.2,0.2
35,30.8,Republic of Congo,Sub-Saharan Africa,5518092,10187122341,18.1,20.0,20.0,18.7,30.1,14.6,14.9,14.4,45.1,45.1,0.0,0.0,39.2,71.7,100.0,100.0,17.1,27.6,93.3,88.4,73.3,35.8,36.2,28.3,36.2,11.4,,11.4,,37.1,8.3,100.0,89.5,58.1,0.0,32.9,63.5,68.8,0.0,0.0,0.0,34.3,34.3,0.3,0.3
106,30.8,Marshall Islands,Asia-Pacific,59194,244462400,32.6,32.5,37.6,16.9,100.0,32.2,35.3,30.2,46.6,46.6,22.1,22.1,29.6,11.4,5.0,5.0,2.4,13.0,,,52.9,,,,,53.5,35.4,,74.5,39.6,35.1,55.9,,48.7,48.5,,9.1,64.5,50.6,100.0,1.1,1.7,1.7,0.0,0.0
119,30.8,Niger,Sub-Saharan Africa,24206636,13741378450,17.1,30.3,48.6,5.4,28.5,1.4,1.3,1.6,27.3,27.3,1.0,1.0,39.9,77.6,85.5,83.9,,25.6,89.8,92.6,73.8,97.7,100.0,53.1,100.0,,,,,12.5,2.0,23.3,,19.2,23.5,0.0,49.4,81.9,0.9,0.0,1.9,33.6,33.6,0.0,0.0
141,30.7,Senegal,Sub-Saharan Africa,16743930,24644234595,20.4,25.4,33.8,12.3,38.1,13.1,13.4,12.9,47.7,47.7,0.9,0.9,37.6,68.7,100.0,100.0,6.9,38.9,97.0,84.0,53.1,25.8,22.7,46.4,61.1,12.8,9.9,20.6,7.1,30.3,15.0,61.7,,63.3,8.0,70.3,46.8,82.4,49.5,52.9,46.2,38.6,38.6,0.5,0.5
12,30.0,Benin,Sub-Saharan Africa,12123198,15651545332,20.3,25.6,37.5,9.0,27.1,13.4,13.3,13.5,36.8,36.8,5.8,5.8,36.4,67.0,100.0,100.0,0.0,46.0,86.4,87.6,50.2,24.4,20.4,20.8,100.0,11.7,,11.7,,30.7,23.4,44.5,,44.4,11.9,50.4,37.2,85.7,33.4,43.5,23.3,42.7,42.7,0.0,0.0
1,29.7,Angola,Sub-Saharan Africa,32866268,58375976293,20.4,26.8,32.6,17.8,34.4,12.8,14.1,11.9,37.3,37.3,0.0,0.0,35.9,39.3,34.1,36.6,0.0,29.8,88.3,66.6,67.2,33.7,31.2,49.3,63.5,14.7,16.9,21.3,4.4,49.0,30.3,100.0,89.3,63.2,7.1,27.2,53.9,60.3,2.6,5.2,0.0,29.3,29.3,0.0,0.0
155,29.5,Togo,Sub-Saharan Africa,8278737,7574636979,16.4,24.1,33.7,10.7,26.8,5.1,5.6,4.8,43.7,43.7,1.0,1.0,38.2,64.2,98.5,98.4,0.0,34.9,92.4,73.5,47.0,28.1,23.5,40.2,100.0,11.1,,11.1,,34.4,31.2,32.4,,34.6,11.2,63.9,55.4,91.4,49.9,30.4,69.3,39.8,39.8,0.0,0.0
108,29.4,Mali,Sub-Saharan Africa,20250834,17465392916,19.5,29.2,45.6,6.8,28.7,8.2,8.3,8.2,32.5,32.5,0.0,0.0,36.0,59.6,39.9,68.0,,11.4,97.0,84.6,67.9,23.4,19.3,58.1,63.7,,,,,26.3,20.6,30.4,,25.6,44.2,25.1,36.8,73.0,49.9,52.0,47.7,43.4,43.4,0.0,0.0
64,29.1,Guinea-Bissau,Sub-Saharan Africa,1967998,1431758243,15.1,22.1,32.8,6.4,29.2,6.7,7.0,6.5,28.5,28.5,0.0,0.0,38.4,72.2,90.9,99.4,59.3,28.7,69.4,73.3,51.3,22.1,16.0,54.6,100.0,5.2,3.5,6.9,,33.6,24.5,47.8,,44.3,56.4,14.0,42.1,85.1,56.1,63.7,48.5,27.5,27.5,0.0,0.0
14,29.0,Bangladesh,Southern Asia,164689383,323056957972,22.4,20.2,24.2,16.0,9.2,27.3,28.0,26.8,23.2,23.2,5.0,5.0,33.5,46.8,18.2,88.9,29.9,4.7,92.7,52.2,44.7,22.8,20.3,47.3,44.5,19.6,34.5,12.1,11.0,35.6,19.7,65.0,,56.6,51.0,29.1,62.2,89.7,15.3,4.8,25.7,49.9,49.9,0.0,0.0
171,28.9,Vanuatu,Asia-Pacific,307150,881547929,26.7,28.6,42.2,5.9,59.1,21.5,21.7,21.3,45.6,45.6,31.4,31.4,30.4,30.0,24.1,24.1,0.1,10.6,99.0,23.0,70.5,49.7,47.0,100.0,,26.4,7.6,11.2,66.2,32.0,19.1,67.2,,61.0,37.5,2.7,29.4,68.3,16.4,7.3,25.5,33.0,33.0,0.0,0.0
44,28.1,Djibouti,Sub-Saharan Africa,988002,3384385217,20.1,21.1,16.7,25.0,38.2,18.3,18.6,18.1,46.2,46.2,0.0,0.0,33.4,23.0,7.8,7.8,1.8,7.6,90.9,32.9,64.3,73.9,,47.8,100.0,6.2,,6.2,,40.1,23.8,57.6,,66.1,64.2,,100.0,74.8,55.5,70.0,41.0,15.7,15.7,0.0,0.0
97,28.0,Lesotho,Sub-Saharan Africa,2142252,1875227642,11.8,15.3,18.8,10.0,18.9,7.2,7.4,7.1,25.0,25.0,0.0,0.0,38.8,22.5,1.4,1.4,,10.6,94.3,26.2,43.5,47.3,44.0,54.0,100.0,,,,,52.4,42.6,78.1,,89.1,47.0,26.7,54.4,70.5,44.0,43.3,44.7,27.4,27.4,0.3,0.3
63,27.9,Gambia,Sub-Saharan Africa,2416664,1868086275,21.4,23.9,32.7,10.5,33.3,19.1,19.6,18.9,37.1,37.1,0.0,0.0,32.1,32.6,23.2,31.7,0.0,30.1,90.1,48.3,47.5,41.1,40.7,33.7,55.6,10.6,,7.5,14.2,35.8,24.0,52.3,,78.9,42.6,57.7,25.6,93.8,53.9,55.9,51.8,36.1,36.1,0.1,0.1
114,27.7,Mauritania,Sub-Saharan Africa,4649660,7913680231,20.0,22.4,22.0,19.8,47.7,13.6,13.7,13.4,55.8,55.8,12.5,12.5,32.8,19.2,3.6,3.0,0.1,4.6,94.5,1.4,78.0,97.2,100.0,53.6,90.9,7.8,14.7,4.2,3.9,32.6,21.5,32.6,88.7,35.7,41.5,0.0,33.7,58.6,49.2,55.1,43.4,39.7,39.7,0.0,0.0
61,27.6,Ghana,Sub-Saharan Africa,31072945,68532281806,20.1,18.0,17.1,17.8,29.2,20.8,21.5,20.3,55.3,55.3,0.0,0.0,32.6,58.9,78.9,84.3,1.1,38.8,84.5,88.9,48.4,15.4,13.7,43.8,17.0,9.0,6.9,11.2,,29.6,10.6,33.5,89.6,37.7,41.9,44.4,48.4,89.9,31.5,45.1,17.8,41.0,41.0,0.0,0.0
75,27.6,India,Southern Asia,1380004385,2660245248868,16.3,13.4,10.9,18.6,0.0,19.4,21.4,18.1,21.0,21.0,16.1,16.1,35.2,33.7,28.2,37.0,1.2,8.7,85.9,63.0,46.3,33.8,31.8,47.8,55.0,16.9,17.0,19.9,13.1,45.0,28.1,68.3,91.0,56.8,32.2,40.0,62.2,66.5,37.1,42.4,31.8,34.7,34.7,2.2,2.2
10,27.0,Burundi,Sub-Saharan Africa,11890781,2841786382,21.9,36.0,57.9,7.4,24.1,5.3,5.4,5.2,35.8,35.8,0.0,0.0,30.5,52.3,46.7,46.7,,25.3,90.7,67.1,48.5,34.7,32.7,66.5,39.2,,,,,16.8,4.3,26.6,,39.8,41.3,47.0,20.8,100.0,45.7,45.2,46.2,37.0,37.0,0.0,0.0
72,27.0,Haiti,Latin America & Caribbean,11402533,14508218017,21.8,31.1,47.5,7.8,37.1,14.0,14.4,13.8,12.1,12.1,0.9,0.9,30.5,34.5,38.3,53.7,6.9,30.9,44.1,31.1,41.0,26.2,22.8,67.9,46.4,16.7,18.9,14.5,,37.0,34.8,29.5,,60.7,45.7,41.6,23.2,86.4,23.8,36.9,10.6,31.4,31.4,0.0,0.0
154,26.7,Chad,Sub-Saharan Africa,16425859,10829076802,14.9,26.8,42.4,5.3,28.4,0.0,0.0,0.0,29.1,29.1,0.0,0.0,34.6,69.0,68.1,77.4,,19.2,91.3,83.3,67.0,22.2,18.6,52.1,57.0,,,,,17.4,20.7,0.0,,0.0,43.5,37.6,0.0,46.5,54.7,57.6,51.7,38.7,38.7,0.0,0.0
143,26.7,Solomon Islands,Asia-Pacific,686878,1545888426,20.4,27.0,40.1,0.0,100.0,14.0,13.6,14.3,25.5,25.5,0.0,0.0,30.9,15.3,1.6,1.6,0.8,6.2,62.5,0.0,76.2,25.5,25.5,,,31.8,9.2,18.7,73.3,45.0,41.9,43.8,,47.8,63.9,16.7,48.4,100.0,57.5,78.4,36.6,8.6,8.6,0.0,0.0
103,26.5,Madagascar,Sub-Saharan Africa,27691019,13056079982,22.1,36.1,56.4,7.4,41.5,5.9,5.7,6.0,33.0,33.0,0.6,0.6,29.4,25.0,32.3,29.1,7.0,17.4,0.0,48.6,46.7,14.6,9.2,70.2,55.5,11.8,13.7,9.9,,39.9,12.6,86.1,89.7,67.1,49.9,26.1,47.8,89.4,40.5,41.6,39.4,50.5,50.5,0.0,0.0
62,26.4,Guinea,Sub-Saharan Africa,13132792,15681050917,18.6,24.7,37.8,6.1,30.0,11.2,11.7,10.9,32.9,32.9,2.5,2.5,31.5,59.9,99.7,88.2,0.0,18.3,83.1,71.6,50.5,11.5,9.4,9.4,50.4,14.4,28.1,11.6,1.7,26.8,30.2,5.2,,19.0,42.0,0.0,36.7,72.7,30.0,18.3,41.6,35.0,35.0,0.0,0.0
32,25.8,Cote d'Ivoire,Sub-Saharan Africa,26378275,61348579465,19.4,20.3,25.9,10.6,36.3,17.2,17.7,16.9,44.9,44.9,2.1,2.1,30.1,62.0,100.0,98.1,1.0,45.1,32.3,95.1,49.6,15.7,11.8,46.3,55.2,16.9,10.2,23.6,,20.2,6.6,40.4,,42.6,15.2,44.3,43.5,91.7,31.8,40.4,23.3,32.0,32.0,0.6,0.6
144,25.7,Sierra Leone,Sub-Saharan Africa,7976985,4063289450,19.1,25.1,37.3,7.0,36.9,11.5,11.7,11.4,37.4,37.4,0.0,0.0,30.2,52.9,54.5,92.9,6.0,14.8,77.9,80.9,48.8,9.6,3.8,63.6,58.7,18.7,31.1,6.4,,24.9,7.9,26.4,89.4,14.9,52.8,0.0,36.4,99.3,40.1,49.3,30.9,42.7,42.7,0.0,0.0
0,25.5,Afghanistan,Southern Asia,38928341,20116137326,20.0,17.7,25.4,7.3,16.9,28.0,28.5,27.7,0.0,0.0,0.0,0.0,29.2,21.9,0.6,1.3,,5.0,90.7,18.0,57.7,93.6,95.0,60.9,100.0,,,,,22.2,0.0,66.1,,34.1,15.7,100.0,50.6,100.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0
110,25.1,Myanmar,Asia-Pacific,54409794,79852046611,24.6,20.7,27.0,12.3,18.3,30.8,32.3,29.9,38.2,38.2,0.0,0.0,25.4,31.0,31.4,15.5,3.6,16.7,67.9,69.3,54.8,25.9,23.4,55.1,41.2,9.4,12.6,9.5,5.7,22.2,0.0,65.0,,28.4,62.1,12.2,73.2,70.6,50.7,51.8,49.6,53.7,53.7,0.0,0.0
94,22.6,Liberia,Sub-Saharan Africa,5057677,3201187800,21.3,30.9,43.7,11.4,45.7,9.8,10.5,9.4,37.3,37.3,0.0,0.0,23.6,32.6,21.3,55.7,1.0,17.2,42.0,53.7,57.2,14.6,11.2,36.9,53.4,10.6,16.0,11.7,3.1,24.9,6.9,29.7,89.3,35.0,38.6,3.4,28.5,100.0,32.7,48.9,16.6,26.2,26.2,0.0,0.0
